模型 ID,模型名称,规格/模式,计费类型,价格来源,计费单位,APIMart 折后 USD,APIMart Credits,APIMart 成本（元）,导入成本积分,默认倍率,最终扣费积分,用户售价（元）,目标毛利率,免费数量,备注
MiniMax-Hailuo-02,MiniMax-Hailuo-02,768P,per_second,fixed_prices,usd_per_second,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
MiniMax-Hailuo-2.3,MiniMax-Hailuo-2.3,default,per_second,fixed_prices,usd_per_second,0.0488,0.488,0.3416,3.416,1.4286,4.880098,0.488,约 30%,,
MiniMax-Hailuo-2.3,MiniMax-Hailuo-2.3,1080P,per_second,fixed_prices,usd_per_second,0.072,0.72,0.504,5.04,1.4286,7.200144,0.72,约 30%,,
MiniMax-Hailuo-2.3-Fast,MiniMax-Hailuo-2.3-Fast,default,per_second,fixed_prices,usd_per_second,0.0248,0.248,0.1736,1.736,1.4286,2.48005,0.248,约 30%,,
MiniMax-Hailuo-2.3-Fast,MiniMax-Hailuo-2.3-Fast,1080P,per_second,fixed_prices,usd_per_second,0.0424,0.424,0.2968,2.968,1.4286,4.240085,0.424,约 30%,,
sora-2,Sora 2,default,per_second,fixed_prices,usd_per_second,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
sora-2,Sora 2,official-720P,per_second,fixed_prices,usd_per_second,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
veo3.1-fast,Veo 3.1,default,times,fixed_prices,usd_per_call,0.14,1.4,0.98,9.8,1.4286,14.00028,1.4,约 30%,,
veo3.1-fast,Veo 3.1,4K,times,fixed_prices,usd_per_call,0.64,6.4,4.48,44.8,1.4286,64.00128,6.4001,约 30%,,
veo3.1-fast,Veo 3.1,EXTEND-4K,times,fixed_prices,usd_per_call,0.64,6.4,4.48,44.8,1.4286,64.00128,6.4001,约 30%,,
veo3.1-fast,Veo 3.1,extend,times,fixed_prices,usd_per_call,0.14,1.4,0.98,9.8,1.4286,14.00028,1.4,约 30%,,
veo3.1-quality,Veo 3.1 Quality,default,times,fixed_prices,usd_per_call,1,10,7,70,1.4286,100.002,10.0002,约 30%,,
veo3.1-quality,Veo 3.1 Quality,4K,times,fixed_prices,usd_per_call,1.5,15,10.5,105,1.4286,150.003,15.0003,约 30%,,
veo3.1-quality,Veo 3.1 Quality,EXTEND-4K,times,fixed_prices,usd_per_call,1.5,15,10.5,105,1.4286,150.003,15.0003,约 30%,,
veo3.1-quality,Veo 3.1 Quality,extend,times,fixed_prices,usd_per_call,1,10,7,70,1.4286,100.002,10.0002,约 30%,,
flux-3-video,flux-3-video,default,per_second,fixed_prices,usd_per_second,0.136,1.36,0.952,9.52,1.4286,13.600272,1.36,约 30%,,
flux-3-video,flux-3-video,DRAFT,per_second,fixed_prices,usd_per_second,0.048,0.48,0.336,3.36,1.4286,4.800096,0.48,约 30%,,
flux-3-video,flux-3-video,FHD,per_second,fixed_prices,usd_per_second,0.232,2.32,1.624,16.24,1.4286,23.200464,2.32,约 30%,,
flux-3-video,flux-3-video,HD,per_second,fixed_prices,usd_per_second,0.136,1.36,0.952,9.52,1.4286,13.600272,1.36,约 30%,,
flux-3-video,flux-3-video,V2V-DRAFT,per_second,fixed_prices,usd_per_second,0.096,0.96,0.672,6.72,1.4286,9.600192,0.96,约 30%,,
flux-3-video,flux-3-video,V2V-FHD,per_second,fixed_prices,usd_per_second,0.424,4.24,2.968,29.68,1.4286,42.400848,4.2401,约 30%,,
flux-3-video,flux-3-video,V2V-HD,per_second,fixed_prices,usd_per_second,0.328,3.28,2.296,22.96,1.4286,32.800656,3.2801,约 30%,,
gemini-omni-1.1-flash,gemini-omni-1.1-flash,default,per_second,fixed_prices,usd_per_second,0.088,0.88,0.616,6.16,1.4286,8.800176,0.88,约 30%,,
gemini-omni-1.1-flash,gemini-omni-1.1-flash,1080P,per_second,fixed_prices,usd_per_second,0.132,1.32,0.924,9.24,1.4286,13.200264,1.32,约 30%,,
gemini-omni-1.1-flash,gemini-omni-1.1-flash,360P,per_second,fixed_prices,usd_per_second,0.0296,0.296,0.2072,2.072,1.4286,2.960059,0.296,约 30%,,
gemini-omni-1.1-flash,gemini-omni-1.1-flash,4K,per_second,fixed_prices,usd_per_second,0.264,2.64,1.848,18.48,1.4286,26.400528,2.6401,约 30%,,
gemini-omni-1.1-flash,gemini-omni-1.1-flash,720P,per_second,fixed_prices,usd_per_second,0.088,0.88,0.616,6.16,1.4286,8.800176,0.88,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,default,resolution_duration,fixed_prices,usd_per_call,0.35,3.5,2.45,24.5,1.4286,35.0007,3.5001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,1080P-10S,resolution_duration,fixed_prices,usd_per_call,0.4,4,2.8,28,1.4286,40.0008,4.0001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,1080P-4S,resolution_duration,fixed_prices,usd_per_call,0.25,2.5,1.75,17.5,1.4286,25.0005,2.5001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,1080P-6S,resolution_duration,fixed_prices,usd_per_call,0.3,3,2.1,21,1.4286,30.0006,3.0001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,1080P-8S,resolution_duration,fixed_prices,usd_per_call,0.35,3.5,2.45,24.5,1.4286,35.0007,3.5001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,1080P-VIDREF,resolution_duration,fixed_prices,usd_per_call,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,360P-10S,resolution_duration,fixed_prices,usd_per_call,0.225,2.25,1.575,15.75,1.4286,22.50045,2.25,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,360P-4S,resolution_duration,fixed_prices,usd_per_call,0.15,1.5,1.05,10.5,1.4286,15.0003,1.5,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,360P-6S,resolution_duration,fixed_prices,usd_per_call,0.175,1.75,1.225,12.25,1.4286,17.50035,1.75,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,360P-8S,resolution_duration,fixed_prices,usd_per_call,0.2,2,1.4,14,1.4286,20.0004,2,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,360P-VIDREF,resolution_duration,fixed_prices,usd_per_call,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,4K-10S,resolution_duration,fixed_prices,usd_per_call,0.9,9,6.3,63,1.4286,90.0018,9.0002,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,4K-4S,resolution_duration,fixed_prices,usd_per_call,0.75,7.5,5.25,52.5,1.4286,75.0015,7.5002,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,4K-6S,resolution_duration,fixed_prices,usd_per_call,0.8,8,5.6,56,1.4286,80.0016,8.0002,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,4K-8S,resolution_duration,fixed_prices,usd_per_call,0.85,8.5,5.95,59.5,1.4286,85.0017,8.5002,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,4K-VIDREF,resolution_duration,fixed_prices,usd_per_call,0.24,2.4,1.68,16.8,1.4286,24.00048,2.4,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,720P-10S,resolution_duration,fixed_prices,usd_per_call,0.4,4,2.8,28,1.4286,40.0008,4.0001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,720P-4S,resolution_duration,fixed_prices,usd_per_call,0.25,2.5,1.75,17.5,1.4286,25.0005,2.5001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,720P-6S,resolution_duration,fixed_prices,usd_per_call,0.3,3,2.1,21,1.4286,30.0006,3.0001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,720P-8S,resolution_duration,fixed_prices,usd_per_call,0.35,3.5,2.45,24.5,1.4286,35.0007,3.5001,约 30%,,
Omni-Flash-Ext,gemini-omni-1.1-flash-ext,720P-VIDREF,resolution_duration,fixed_prices,usd_per_call,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
gemini-omni-flash-preview,gemini-omni-flash-preview,720P,per_second,fixed_prices,usd_per_second,0.088,0.88,0.616,6.16,1.4286,8.800176,0.88,约 30%,,
grok-imagine-1.5-video-apimart,grok-imagine-1.5-video-ext（grok-imagine-1.5-video-apimart）,480P,per_second,fixed_prices,usd_per_second,0.0102,0.102,0.0714,0.714,1.4286,1.02002,0.102,约 30%,,
grok-imagine-1.5-video-apimart,grok-imagine-1.5-video-ext（grok-imagine-1.5-video-apimart）,720P,per_second,fixed_prices,usd_per_second,0.01912,0.1912,0.1338,1.3384,1.4286,1.912038,0.1912,约 30%,,
grok-imagine-video,grok-imagine-video,default,per_second,fixed_prices,usd_per_second,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
grok-imagine-video,grok-imagine-video,480P,per_second,fixed_prices,usd_per_second,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
grok-imagine-video,grok-imagine-video,720P,per_second,fixed_prices,usd_per_second,0.056,0.56,0.392,3.92,1.4286,5.600112,0.56,约 30%,,
grok-imagine-video,grok-imagine-video,image,input_material,input_material_prices.image,usd_per_image,0.0016,0.016,0.0112,0.112,1.4286,0.160003,0.016,约 30%,,
grok-imagine-video,grok-imagine-video,video,input_material,input_material_prices.video,usd_per_second,0.008,0.08,0.056,0.56,1.4286,0.800016,0.08,约 30%,,
grok-imagine-video-1.5,grok-imagine-video-1.5,default,per_second,fixed_prices,usd_per_second,0.064,0.64,0.448,4.48,1.4286,6.400128,0.64,约 30%,,
grok-imagine-video-1.5,grok-imagine-video-1.5,1080P,per_second,fixed_prices,usd_per_second,0.2,2,1.4,14,1.4286,20.0004,2,约 30%,,
grok-imagine-video-1.5,grok-imagine-video-1.5,480P,per_second,fixed_prices,usd_per_second,0.064,0.64,0.448,4.48,1.4286,6.400128,0.64,约 30%,,
grok-imagine-video-1.5,grok-imagine-video-1.5,720P,per_second,fixed_prices,usd_per_second,0.112,1.12,0.784,7.84,1.4286,11.200224,1.12,约 30%,,
grok-imagine-video-1.5,grok-imagine-video-1.5,image,input_material,input_material_prices.image,usd_per_image,0.008,0.08,0.056,0.56,1.4286,0.800016,0.08,约 30%,,
happyhorse-1.0,happyhorse,default,per_second,fixed_prices,usd_per_second,0.23,2.3,1.61,16.1,1.4286,23.00046,2.3,约 30%,,
happyhorse-1.0,happyhorse,1080P,per_second,fixed_prices,usd_per_second,0.23,2.3,1.61,16.1,1.4286,23.00046,2.3,约 30%,,
happyhorse-1.0,happyhorse,720P,per_second,fixed_prices,usd_per_second,0.13,1.3,0.91,9.1,1.4286,13.00026,1.3,约 30%,,
happyhorse-1.0,happyhorse,edit-1080P,per_second,fixed_prices,usd_per_second,0.23,2.3,1.61,16.1,1.4286,23.00046,2.3,约 30%,,
happyhorse-1.0,happyhorse,edit-720P,per_second,fixed_prices,usd_per_second,0.13,1.3,0.91,9.1,1.4286,13.00026,1.3,约 30%,,
happyhorse-1.1,happyhorse-1.1,default,per_second,fixed_prices,usd_per_second,0.172,1.72,1.204,12.04,1.4286,17.200344,1.72,约 30%,,
happyhorse-1.1,happyhorse-1.1,1080P,per_second,fixed_prices,usd_per_second,0.172,1.72,1.204,12.04,1.4286,17.200344,1.72,约 30%,,
happyhorse-1.1,happyhorse-1.1,720P,per_second,fixed_prices,usd_per_second,0.13,1.3,0.91,9.1,1.4286,13.00026,1.3,约 30%,,
kling-3.0-turbo,kling-3.0-turbo,1080P,per_second,fixed_prices,usd_per_second,0.1432,1.432,1.0024,10.024,1.4286,14.320286,1.432,约 30%,,
kling-3.0-turbo,kling-3.0-turbo,720P,per_second,fixed_prices,usd_per_second,0.1144,1.144,0.8008,8.008,1.4286,11.440229,1.144,约 30%,,
kling-v2-6,kling-v2-6,default,per_second,fixed_prices,usd_per_second,0.0368,0.368,0.2576,2.576,1.4286,3.680074,0.368,约 30%,,
kling-v2-6,kling-v2-6,pro,per_second,fixed_prices,usd_per_second,0.0625,0.625,0.4375,4.375,1.4286,6.250125,0.625,约 30%,,
kling-v2-6,kling-v2-6,pro-sound,per_second,fixed_prices,usd_per_second,0.125,1.25,0.875,8.75,1.4286,12.50025,1.25,约 30%,,
kling-v2-6,kling-v2-6,pro-sound-voice,per_second,fixed_prices,usd_per_second,0.15,1.5,1.05,10.5,1.4286,15.0003,1.5,约 30%,,
kling-v2-6-motion-control,kling-v2-6-motion-control,default,per_second,fixed_prices,usd_per_second,0.05712,0.5712,0.3998,3.9984,1.4286,5.712114,0.5712,约 30%,,
kling-v2-6-motion-control,kling-v2-6-motion-control,pro,per_second,fixed_prices,usd_per_second,0.09144,0.9144,0.6401,6.4008,1.4286,9.144183,0.9144,约 30%,,
kling-v3,kling-v3,default,per_second,fixed_prices,usd_per_second,0.0672,0.672,0.4704,4.704,1.4286,6.720134,0.672,约 30%,,
kling-v3,kling-v3,4k,per_second,fixed_prices,usd_per_second,0.42856,4.2856,2.9999,29.9992,1.4286,42.856857,4.2857,约 30%,,
kling-v3,kling-v3,4k-sound,per_second,fixed_prices,usd_per_second,0.42856,4.2856,2.9999,29.9992,1.4286,42.856857,4.2857,约 30%,,
kling-v3,kling-v3,pro,per_second,fixed_prices,usd_per_second,0.0896,0.896,0.6272,6.272,1.4286,8.960179,0.896,约 30%,,
kling-v3,kling-v3,pro-sound,per_second,fixed_prices,usd_per_second,0.1344,1.344,0.9408,9.408,1.4286,13.440269,1.344,约 30%,,
kling-v3,kling-v3,sound,per_second,fixed_prices,usd_per_second,0.1008,1.008,0.7056,7.056,1.4286,10.080202,1.008,约 30%,,
kling-v3-motion-control,kling-v3-motion-control,default,per_second,fixed_prices,usd_per_second,0.10288,1.0288,0.7202,7.2016,1.4286,10.288206,1.0288,约 30%,,
kling-v3-motion-control,kling-v3-motion-control,pro,per_second,fixed_prices,usd_per_second,0.13712,1.3712,0.9598,9.5984,1.4286,13.712274,1.3712,约 30%,,
kling-v3-omni,kling-v3-omni,default,per_second,fixed_prices,usd_per_second,0.0672,0.672,0.4704,4.704,1.4286,6.720134,0.672,约 30%,,
kling-v3-omni,kling-v3-omni,4k,per_second,fixed_prices,usd_per_second,0.42856,4.2856,2.9999,29.9992,1.4286,42.856857,4.2857,约 30%,,
kling-v3-omni,kling-v3-omni,4k-sound,per_second,fixed_prices,usd_per_second,0.42856,4.2856,2.9999,29.9992,1.4286,42.856857,4.2857,约 30%,,
kling-v3-omni,kling-v3-omni,pro,per_second,fixed_prices,usd_per_second,0.0896,0.896,0.6272,6.272,1.4286,8.960179,0.896,约 30%,,
kling-v3-omni,kling-v3-omni,pro-sound,per_second,fixed_prices,usd_per_second,0.112,1.12,0.784,7.84,1.4286,11.200224,1.12,约 30%,,
kling-v3-omni,kling-v3-omni,pro-video,per_second,fixed_prices,usd_per_second,0.1344,1.344,0.9408,9.408,1.4286,13.440269,1.344,约 30%,,
kling-v3-omni,kling-v3-omni,sound,per_second,fixed_prices,usd_per_second,0.0896,0.896,0.6272,6.272,1.4286,8.960179,0.896,约 30%,,
kling-v3-omni,kling-v3-omni,video,per_second,fixed_prices,usd_per_second,0.1008,1.008,0.7056,7.056,1.4286,10.080202,1.008,约 30%,,
kling-video-o1,kling-video-o1,default,per_second,fixed_prices,usd_per_second,0.0672,0.672,0.4704,4.704,1.4286,6.720134,0.672,约 30%,,
kling-video-o1,kling-video-o1,pro,per_second,fixed_prices,usd_per_second,0.0896,0.896,0.6272,6.272,1.4286,8.960179,0.896,约 30%,,
kling-video-o1,kling-video-o1,pro-video,per_second,fixed_prices,usd_per_second,0.1344,1.344,0.9408,9.408,1.4286,13.440269,1.344,约 30%,,
kling-video-o1,kling-video-o1,video,per_second,fixed_prices,usd_per_second,0.1008,1.008,0.7056,7.056,1.4286,10.080202,1.008,约 30%,,
pixverse-v6,pixverse-v6,default,per_second,fixed_prices,usd_per_second,0.024,0.24,0.168,1.68,1.4286,2.400048,0.24,约 30%,,
pixverse-v6,pixverse-v6,1080P,per_second,fixed_prices,usd_per_second,0.064,0.64,0.448,4.48,1.4286,6.400128,0.64,约 30%,,
pixverse-v6,pixverse-v6,1080P-audio,per_second,fixed_prices,usd_per_second,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
pixverse-v6,pixverse-v6,360P,per_second,fixed_prices,usd_per_second,0.016,0.16,0.112,1.12,1.4286,1.600032,0.16,约 30%,,
pixverse-v6,pixverse-v6,360P-audio,per_second,fixed_prices,usd_per_second,0.024,0.24,0.168,1.68,1.4286,2.400048,0.24,约 30%,,
pixverse-v6,pixverse-v6,540P,per_second,fixed_prices,usd_per_second,0.024,0.24,0.168,1.68,1.4286,2.400048,0.24,约 30%,,
pixverse-v6,pixverse-v6,540P-audio,per_second,fixed_prices,usd_per_second,0.032,0.32,0.224,2.24,1.4286,3.200064,0.32,约 30%,,
pixverse-v6,pixverse-v6,720P,per_second,fixed_prices,usd_per_second,0.032,0.32,0.224,2.24,1.4286,3.200064,0.32,约 30%,,
pixverse-v6,pixverse-v6,720P-audio,per_second,fixed_prices,usd_per_second,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
seedance-1-0-pro-fast,seedance-1-0-pro-fast,1080P,per_second,fixed_prices,usd_per_second,0.0416,0.416,0.2912,2.912,1.4286,4.160083,0.416,约 30%,,
seedance-1-0-pro-fast,seedance-1-0-pro-fast,480P,per_second,fixed_prices,usd_per_second,0.0088,0.088,0.0616,0.616,1.4286,0.880018,0.088,约 30%,,
seedance-1-0-pro-fast,seedance-1-0-pro-fast,720P,per_second,fixed_prices,usd_per_second,0.02,0.2,0.14,1.4,1.4286,2.00004,0.2,约 30%,,
seedance-1-0-pro-quality,seedance-1-0-pro-quality,1080P,per_second,fixed_prices,usd_per_second,0.104,1.04,0.728,7.28,1.4286,10.400208,1.04,约 30%,,
seedance-1-0-pro-quality,seedance-1-0-pro-quality,480P,per_second,fixed_prices,usd_per_second,0.0204,0.204,0.1428,1.428,1.4286,2.040041,0.204,约 30%,,
seedance-1-0-pro-quality,seedance-1-0-pro-quality,720P,per_second,fixed_prices,usd_per_second,0.044,0.44,0.308,3.08,1.4286,4.400088,0.44,约 30%,,
seedance-1-5-pro,seedance-1-5-pro,1080P,per_second,fixed_prices,usd_per_second,0.108,1.08,0.756,7.56,1.4286,10.800216,1.08,约 30%,,
seedance-1-5-pro,seedance-1-5-pro,480P,per_second,fixed_prices,usd_per_second,0.0204,0.204,0.1428,1.428,1.4286,2.040041,0.204,约 30%,,
seedance-1-5-pro,seedance-1-5-pro,720P,per_second,fixed_prices,usd_per_second,0.044,0.44,0.308,3.08,1.4286,4.400088,0.44,约 30%,,
seedance-2.0,seedance-2.0,1080P,per_second,fixed_prices,usd_per_second,0.3544,3.544,2.4808,24.808,1.4286,35.440709,3.5441,约 30%,,
seedance-2.0,seedance-2.0,1080P-input,per_second,fixed_prices,usd_per_second,0.21568,2.1568,1.5098,15.0976,1.4286,21.568431,2.1568,约 30%,,
seedance-2.0,seedance-2.0,480P,per_second,fixed_prices,usd_per_second,0.066,0.66,0.462,4.62,1.4286,6.600132,0.66,约 30%,,
seedance-2.0,seedance-2.0,480P-input,per_second,fixed_prices,usd_per_second,0.04,0.4,0.28,2.8,1.4286,4.00008,0.4,约 30%,,
seedance-2.0,seedance-2.0,4K,per_second,fixed_prices,usd_per_second,0.722,7.22,5.054,50.54,1.4286,72.201444,7.2201,约 30%,,
seedance-2.0,seedance-2.0,4K-input,per_second,fixed_prices,usd_per_second,0.44432,4.4432,3.1102,31.1024,1.4286,44.432889,4.4433,约 30%,,
seedance-2.0,seedance-2.0,720P,per_second,fixed_prices,usd_per_second,0.142,1.42,0.994,9.94,1.4286,14.200284,1.42,约 30%,,
seedance-2.0,seedance-2.0,720P-input,per_second,fixed_prices,usd_per_second,0.08584,0.8584,0.6009,6.0088,1.4286,8.584172,0.8584,约 30%,,
seedance-2.0-face,seedance-2.0-face,1080P,per_second,fixed_prices,usd_per_second,0.5,5,3.5,35,1.4286,50.001,5.0001,约 30%,,
seedance-2.0-face,seedance-2.0-face,1080P-input,per_second,fixed_prices,usd_per_second,0.3,3,2.1,21,1.4286,30.0006,3.0001,约 30%,,
seedance-2.0-face,seedance-2.0-face,480P,per_second,fixed_prices,usd_per_second,0.0992,0.992,0.6944,6.944,1.4286,9.920198,0.992,约 30%,,
seedance-2.0-face,seedance-2.0-face,480P-input,per_second,fixed_prices,usd_per_second,0.06,0.6,0.42,4.2,1.4286,6.00012,0.6,约 30%,,
seedance-2.0-face,seedance-2.0-face,720P,per_second,fixed_prices,usd_per_second,0.2136,2.136,1.4952,14.952,1.4286,21.360427,2.136,约 30%,,
seedance-2.0-face,seedance-2.0-face,720P-input,per_second,fixed_prices,usd_per_second,0.1288,1.288,0.9016,9.016,1.4286,12.880258,1.288,约 30%,,
seedance-2.0-fast,seedance-2.0-fast,480P,per_second,fixed_prices,usd_per_second,0.03984,0.3984,0.2789,2.7888,1.4286,3.98408,0.3984,约 30%,,
seedance-2.0-fast,seedance-2.0-fast,480P-input,per_second,fixed_prices,usd_per_second,0.02368,0.2368,0.1658,1.6576,1.4286,2.368047,0.2368,约 30%,,
seedance-2.0-fast,seedance-2.0-fast,720P,per_second,fixed_prices,usd_per_second,0.0856,0.856,0.5992,5.992,1.4286,8.560171,0.856,约 30%,,
seedance-2.0-fast,seedance-2.0-fast,720P-input,per_second,fixed_prices,usd_per_second,0.05128,0.5128,0.359,3.5896,1.4286,5.128103,0.5128,约 30%,,
seedance-2.0-fast-face,seedance-2.0-fast-face,480P,per_second,fixed_prices,usd_per_second,0.08,0.8,0.56,5.6,1.4286,8.00016,0.8,约 30%,,
seedance-2.0-fast-face,seedance-2.0-fast-face,480P-input,per_second,fixed_prices,usd_per_second,0.048,0.48,0.336,3.36,1.4286,4.800096,0.48,约 30%,,
seedance-2.0-fast-face,seedance-2.0-fast-face,720P,per_second,fixed_prices,usd_per_second,0.172,1.72,1.204,12.04,1.4286,17.200344,1.72,约 30%,,
seedance-2.0-fast-face,seedance-2.0-fast-face,720P-input,per_second,fixed_prices,usd_per_second,0.1032,1.032,0.7224,7.224,1.4286,10.320206,1.032,约 30%,,
seedance-2.0-mini,seedance-2.0-mini,480P,per_second,fixed_prices,usd_per_second,0.01056,0.1056,0.0739,0.7392,1.4286,1.056021,0.1056,约 30%,,
seedance-2.0-mini,seedance-2.0-mini,480P-input,per_second,fixed_prices,usd_per_second,0.0064,0.064,0.0448,0.448,1.4286,0.640013,0.064,约 30%,,
seedance-2.0-mini,seedance-2.0-mini,720P,per_second,fixed_prices,usd_per_second,0.02288,0.2288,0.1602,1.6016,1.4286,2.288046,0.2288,约 30%,,
seedance-2.0-mini,seedance-2.0-mini,720P-input,per_second,fixed_prices,usd_per_second,0.01384,0.1384,0.0969,0.9688,1.4286,1.384028,0.1384,约 30%,,
seedance-2.5,seedance-2.5,default,per_second,fixed_prices,usd_per_second,0.216,2.16,1.512,15.12,1.4286,21.600432,2.16,约 30%,,
seedance-2.5,seedance-2.5,1080P,per_second,fixed_prices,usd_per_second,0.38488,3.8488,2.6942,26.9416,1.4286,38.48877,3.8489,约 30%,,
seedance-2.5,seedance-2.5,1080P-input,per_second,fixed_prices,usd_per_second,0.22992,2.2992,1.6094,16.0944,1.4286,22.99246,2.2992,约 30%,,
seedance-2.5,seedance-2.5,480P,per_second,fixed_prices,usd_per_second,0.09608,0.9608,0.6726,6.7256,1.4286,9.608192,0.9608,约 30%,,
seedance-2.5,seedance-2.5,480P-input,per_second,fixed_prices,usd_per_second,0.0576,0.576,0.4032,4.032,1.4286,5.760115,0.576,约 30%,,
seedance-2.5,seedance-2.5,720P,per_second,fixed_prices,usd_per_second,0.216,2.16,1.512,15.12,1.4286,21.600432,2.16,约 30%,,
seedance-2.5,seedance-2.5,720P-input,per_second,fixed_prices,usd_per_second,0.1296,1.296,0.9072,9.072,1.4286,12.960259,1.296,约 30%,,
seedance-2.5,seedance-2.5,token,token_settlement,token_settlement_prices,usd_per_million_tokens,10,100,70,700,1.4286,1000.02,100.002,约 30%,,
seedance-2.5,seedance-2.5,token-input,token_settlement,token_settlement_prices,usd_per_million_tokens,6,60,42,420,1.4286,600.012,60.0012,约 30%,,
seedance-2.5,seedance-2.5,token-1080P,token_settlement,token_settlement_prices,usd_per_million_tokens,7.92,79.2,55.44,554.4,1.4286,792.01584,79.2016,约 30%,,
